epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,21.769,1.15851,3.89793,4.53422,1.31762,0.30267,0.31429,0.2108,0.11348,0.20191,0.1619,0.09729,0.02588,1.49741,4.78922,4.24927,1.39889,0.00036,0.00036,0.00036
2,32.8946,1.05631,2.82019,1.98158,1.12107,0.53893,0.60114,0.54567,0.34287,0.39207,0.27619,0.18735,0.04135,1.41295,11.2378,3.1211,1.52637,0.00070337,0.00070337,0.00070337
3,43.0076,1.14764,2.72693,1.49954,1.19721,0.04981,0.01905,0.0127,0.00454,0.87488,0.00952,0.00502,0.00151,3.12766,24.2122,3.86337,3.21943,0.00100912,0.00100912,0.00100912
4,55.5306,1.16001,2.88999,1.40285,1.21915,0.28,0.10476,0.10645,0.0561,0,0,0,0,2.47865,32.3534,5.74415,3.58588,0.00127725,0.00127725,0.00127725
5,66.176,1.05192,2.65554,1.23436,1.16007,0.03664,0.13333,0.01811,0.00455,0,0,0,0,3.84003,11.0787,19.6581,6.87153,0.00150776,0.00150776,0.00150776
6,76.1645,1.08935,2.57536,1.32241,1.18697,0.06063,0.2381,0.02432,0.0102,0.03425,0.06667,0.00601,0.00132,2.486,6.88727,7.12298,3.02472,0.001505,0.001505,0.001505
7,89.1259,1.07341,2.56816,1.20414,1.18051,0.60385,0.3619,0.41392,0.27472,0.32693,0.39048,0.28412,0.11629,1.37966,4.16368,2.78518,1.49609,0.001406,0.001406,0.001406
8,100.24,1.08553,2.52719,1.1341,1.17748,0.21644,0.28571,0.19567,0.12928,0.57476,0.10476,0.11178,0.04145,1.60244,7.11102,3.06341,1.64219,0.001307,0.001307,0.001307
9,110.075,1.01928,2.27844,1.03002,1.12637,0.68187,0.53333,0.59659,0.40979,0.66859,0.52381,0.54506,0.22207,1.12429,3.1621,1.63344,1.23271,0.001208,0.001208,0.001208
10,122.078,0.98363,2.26996,1.03309,1.11725,0.88774,0.75312,0.87487,0.60521,0.83953,0.70476,0.74272,0.33691,1.03749,2.55839,1.12976,1.18966,0.001109,0.001109,0.001109
11,135.555,0.94437,2.43277,1.01701,1.15927,0.90713,0.82857,0.91105,0.66006,0.89887,0.76182,0.78219,0.38234,0.97742,2.93767,0.88446,1.1496,0.00101,0.00101,0.00101
12,145.421,0.95737,2.33605,0.92887,1.18087,0.9345,0.86667,0.92569,0.69459,0.90369,0.8381,0.85869,0.42631,0.93391,2.51161,0.81504,1.10813,0.000911,0.000911,0.000911
13,157.069,0.94849,2.26554,0.90774,1.17804,0.92526,0.80952,0.91479,0.64452,0.84986,0.74286,0.76978,0.35756,0.97829,2.83897,0.8877,1.12629,0.000812,0.000812,0.000812
14,167.935,0.87699,2.05777,0.79708,1.10603,0.95879,0.91429,0.95855,0.73236,0.90993,0.86667,0.85169,0.43802,0.84769,2.3643,0.72741,1.08098,0.000713,0.000713,0.000713
15,177.847,0.86875,2.05304,0.74322,1.11157,0.9329,0.92687,0.9635,0.76254,0.91373,0.90782,0.93832,0.51365,0.78032,2.0747,0.64024,1.01571,0.000614,0.000614,0.000614
16,189.44,0.84405,1.97621,0.74154,1.10423,0.98966,0.91148,0.95712,0.72827,0.97917,0.89531,0.94648,0.50663,0.76914,1.79912,0.62151,1.02271,0.000515,0.000515,0.000515
17,199.535,0.74186,1.86226,0.68148,1.01621,0.98744,0.91429,0.9693,0.76275,0.95973,0.90785,0.93259,0.51152,0.77755,1.81241,0.57521,1.0258,0.000416,0.000416,0.000416
18,210.299,0.67702,1.78735,0.62526,0.99009,0.97967,0.91795,0.97835,0.78161,0.94921,0.89001,0.94211,0.53898,0.75387,1.80983,0.5209,1.00841,0.000317,0.000317,0.000317
19,221.813,0.66096,1.62028,0.59275,0.99046,0.98978,0.92282,0.97589,0.79832,0.96936,0.90386,0.93407,0.54042,0.73005,1.82499,0.50779,0.99057,0.000218,0.000218,0.000218
20,231.336,0.65072,1.62733,0.55543,0.97478,0.98987,0.93044,0.97536,0.78385,0.97974,0.92092,0.95041,0.54163,0.72812,1.8134,0.50972,0.99753,0.000119,0.000119,0.000119
